Rk,Player,Tm,Pos,Age,G,GS,Cmp,PassingAtt,PassingYds,PassingTD,Int,RushingAtt,RushingYds,Y/A,RushingTD,Tgt,Rec,ReceivingYds,Y/R,ReceivingTD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
403,Jake Funk,LAR,RB,23,6,0,0,0,0,0,0,1,6,6,0,0,0,0,,0,0,0,0,,,1,0.6,0.6,0.6,,114,
404,Blaine Gabbert,TAM,QB,32,2,0,3,3,41,0,0,6,-4,-0.67,0,0,0,0,,0,0,0,0,,,1,1.2,1.2,1.2,,44,
405,Reggie Gilliam,BUF,RB,24,5,2,0,0,0,0,0,3,3,1,0,2,1,8,8,0,0,0,0,,,1,2.1,2.1,1.6,,106,
406,Josh Gordon,KAN,WR,30,2,0,0,0,0,0,0,0,0,,0,1,1,11,11,0,0,0,0,,,1,2.1,2.1,1.6,,173,
407,Jimmy Graham,CHI,TE,35,6,3,0,0,0,0,0,0,0,,0,3,1,11,11,0,0,0,0,,,1,2.1,2.1,1.6,,78,
408,Noah Gray,KAN,TE,22,5,0,0,0,0,0,0,0,0,,0,2,1,5,5,0,0,0,0,,,1,1.5,1.5,1,,83,
409,Tyler Huntley,BAL,QB,23,1,0,0,0,0,0,0,3,10,3.33,0,0,0,0,,0,0,0,0,,,1,1,1,1,,45,
410,Tyron Johnson,JAX,WR,25,5,0,0,0,0,0,0,0,0,,0,3,1,6,6,0,0,0,0,,,1,1.6,1.6,1.1,,175,
411,Isaiah McKenzie,BUF,WR,26,5,1,0,0,0,0,0,2,5,2.5,0,2,1,1,1,0,0,0,0,,,1,1.6,1.6,1.1,,174,
412,Scott Miller,TAM,WR,24,3,0,0,0,0,0,0,0,0,,0,3,2,11,5.5,0,0,0,0,,,1,3.1,3.1,2.1,,172,
413,Dax Milne,WAS,WR,22,5,0,0,0,0,0,0,0,0,,0,2,1,6,6,0,0,0,0,,,1,1.6,1.6,1.1,,176,
